,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
117,transloadit/uppy,JavaScript,25979,2253,1900,1756,1969.6666666666667
118,Binaryify/NeteaseCloudMusicApi,JavaScript,25874,382,1199,11006,4195.666666666667
119,pcottle/learnGitBranching,JavaScript,25839,577,429,5396,2134.0
120,SortableJS/Sortable,JavaScript,25768,483,1660,3545,1896.0
121,request/request,JavaScript,25546,1168,2230,3177,2191.6666666666665
122,github/fetch,JavaScript,25491,301,605,3157,1354.3333333333333
123,select2/select2,JavaScript,25449,1473,4722,6348,4181.0
124,GoogleChrome/lighthouse,JavaScript,25439,5193,8424,8956,7524.333333333333
125,codemirror/codemirror5,JavaScript,25406,2856,4113,4959,3976.0
126,Modernizr/Modernizr,JavaScript,25340,1215,1480,3048,1914.3333333333333
127,parallax/jsPDF,JavaScript,25329,1219,2281,4385,2628.3333333333335
128,fastify/fastify,JavaScript,25272,2583,1559,1859,2000.3333333333333
129,OAI/OpenAPI-Specification,JavaScript,25168,994,1903,8627,3841.3333333333335
130,YMFE/yapi,JavaScript,25140,265,2335,4444,2348.0
131,GitbookIO/gitbook,JavaScript,25101,386,0,3743,1376.3333333333333
132,ajaxorg/ace,JavaScript,24973,2004,2863,5218,3361.6666666666665
133,Automattic/mongoose,JavaScript,24897,2622,9756,3588,5322.0
134,sudheerj/reactjs-interview-questions,JavaScript,24791,137,64,6137,2112.6666666666665
135,rstacruz/nprogress,JavaScript,24772,95,146,1846,695.6666666666666
136,nylas/nylas-mail,JavaScript,24704,253,3420,1466,1713.0
137,remy/nodemon,JavaScript,24563,500,1567,1669,1245.3333333333333
138,bvaughn/react-virtualized,JavaScript,24310,621,1145,3060,1608.6666666666667
139,Kong/insomnia,JavaScript,24197,2081,2723,1340,2048.0
140,immerjs/immer,JavaScript,23823,401,584,775,586.6666666666666
141,jamiebuilds/the-super-tiny-compiler,JavaScript,23743,56,0,2615,890.3333333333334
142,tj/commander.js,JavaScript,23593,873,933,1668,1158.0
143,lovell/sharp,JavaScript,23578,350,3058,1174,1527.3333333333333
144,TheAlgorithms/JavaScript,JavaScript,23403,1034,167,4060,1753.6666666666667
145,hammerjs/hammer.js,JavaScript,23250,249,1033,2663,1315.0
146,qishibo/AnotherRedisDesktopManager,JavaScript,23094,180,764,2173,1039.0
147,fabricjs/fabric.js,JavaScript,23035,2325,5564,3140,3676.3333333333335
148,digitalocean/nginxconfig.io,JavaScript,23015,196,197,1633,675.3333333333334
149,swagger-api/swagger-ui,JavaScript,22883,3163,4939,8493,5531.666666666667
150,sampotts/plyr,JavaScript,22783,519,1910,2711,1713.3333333333333
151,ryanhanwu/How-To-Ask-Questions-The-Smart-Way,JavaScript,22717,98,25,5030,1717.6666666666667
152,feathericons/feather,JavaScript,22687,573,586,1140,766.3333333333334
153,remoteintech/remote-jobs,JavaScript,22597,1397,137,2393,1309.0
154,pure-css/pure,JavaScript,22593,466,570,2502,1179.3333333333333
155,ramda/ramda,JavaScript,22472,1712,1575,1442,1576.3333333333333
156,louislam/uptime-kuma,JavaScript,22420,727,1509,1864,1366.6666666666667
157,rollup/rollup,JavaScript,22385,1794,2881,1226,1967.0
158,emberjs/ember.js,JavaScript,22325,9941,6617,4282,6946.666666666667
159,balderdashy/sails,JavaScript,22320,923,6325,1974,3074.0
160,redux-saga/redux-saga,JavaScript,22308,843,1458,2030,1443.6666666666667
161,dimsemenov/PhotoSwipe,JavaScript,22291,214,1738,3298,1750.0
162,haizlin/fe-interview,JavaScript,22241,17,5178,3049,2748.0
163,ovity/octotree,JavaScript,22222,385,744,1858,995.6666666666666
164,quasarframework/quasar,JavaScript,22187,4235,6987,2983,4735.0
165,facebook/draft-js,JavaScript,22148,1362,1770,2659,1930.3333333333333
166,MostlyAdequate/mostly-adequate-guide,JavaScript,22147,366,270,1816,817.3333333333334
167,vercel/pkg,JavaScript,22138,264,1303,943,836.6666666666666
168,ascoders/weekly,JavaScript,21948,133,310,2635,1026.0
169,Tencent/wepy,JavaScript,21935,663,2142,3063,1956.0
170,docsifyjs/docsify,JavaScript,21842,723,1114,5271,2369.3333333333335
171,michalsnik/aos,JavaScript,21716,135,634,2329,1032.6666666666667
172,mochajs/mocha,JavaScript,21711,2031,2844,2982,2619.0
173,AMAI-GmbH/AI-Expert-Roadmap,JavaScript,21694,14,50,1972,678.6666666666666
174,DIYgod/RSSHub,JavaScript,21642,7099,3948,4521,5189.333333333333
175,usablica/intro.js,JavaScript,21582,1021,749,2614,1461.3333333333333
176,bilibili/flv.js,JavaScript,21568,65,688,3310,1354.3333333333333
177,lyswhut/lx-music-desktop,JavaScript,21562,37,956,3793,1595.3333333333333
178,eslint/eslint,JavaScript,21488,6433,9295,3908,6545.333333333333
179,bevacqua/dragula,JavaScript,21337,188,511,1987,895.3333333333334
180,viatsko/awesome-vscode,JavaScript,21255,317,42,1140,499.6666666666667
181,chenglou/react-motion,JavaScript,21196,223,394,1186,601.0
182,localForage/localForage,JavaScript,21166,372,685,1214,757.0
183,discordjs/discord.js,JavaScript,21103,4642,3449,3611,3900.6666666666665
184,jlmakes/scrollreveal,JavaScript,21103,53,473,2187,904.3333333333334
185,pugjs/pug,JavaScript,20978,849,2533,1976,1786.0
186,paularmstrong/normalizr,JavaScript,20948,193,0,887,360.0
187,vuejs/vuepress,JavaScript,20894,1204,1879,4640,2574.3333333333335
188,goldfire/howler.js,JavaScript,20822,259,1325,2116,1233.3333333333333
189,jaredhanson/passport,JavaScript,20761,145,727,1189,687.0
190,postcss/autoprefixer,JavaScript,20631,329,1128,1276,911.0
191,highlightjs/highlight.js,JavaScript,20570,1746,1871,3391,2336.0
192,git-tips/tips,JavaScript,20491,170,37,1733,646.6666666666666
193,Meituan-Dianping/mpvue,JavaScript,20410,148,1687,2119,1318.0
194,validatorjs/validator.js,JavaScript,20354,1134,940,2052,1375.3333333333333
195,ruanyf/es6tutorial,JavaScript,20328,595,546,8897,3346.0
196,necolas/react-native-web,JavaScript,20305,665,1634,1739,1346.0
197,camsong/You-Dont-Need-jQuery,JavaScript,20264,181,68,1833,694.0
198,OpenZeppelin/openzeppelin-contracts,JavaScript,20261,2195,1491,10400,4695.333333333333
199,lutzroeder/netron,JavaScript,20251,130,867,2320,1105.6666666666667
200,petkaantonov/bluebird,JavaScript,20171,542,1139,2422,1367.6666666666667
201,avajs/ava,JavaScript,20036,1360,1589,1457,1468.6666666666667
202,js-cookie/js-cookie,JavaScript,19996,249,519,2063,943.6666666666666
203,enzymejs/enzyme,JavaScript,19955,806,1762,2104,1557.3333333333333
204,zhaoolee/ChromeAppHeroes,JavaScript,19848,24,44,2212,760.0
205,parse-community/parse-server,JavaScript,19806,3980,4221,4679,4293.333333333333
206,FredKSchott/snowpack,JavaScript,19756,1492,879,988,1119.6666666666667
207,benweet/stackedit,JavaScript,19680,128,1655,2638,1473.6666666666667
208,winstonjs/winston,JavaScript,19626,865,1350,1725,1313.3333333333333
209,Reactive-Extensions/RxJS,JavaScript,19601,637,874,2209,1240.0
210,eligrey/FileSaver.js,JavaScript,19571,158,614,4348,1706.6666666666667
211,verekia/js-stack-from-scratch,JavaScript,19355,105,157,1972,744.6666666666666
212,shimohq/chinese-programmer-wrong-pronunciation,JavaScript,19340,168,226,1474,622.6666666666666
213,chalk/chalk,JavaScript,19304,167,335,789,430.3333333333333
214,segmentio/nightmare,JavaScript,19292,401,1243,1156,933.3333333333334
215,hapijs/joi,JavaScript,19282,635,2224,1511,1456.6666666666667
216,goldbergyoni/javascript-testing-best-practices,JavaScript,19237,166,54,1721,647.0
217,Popmotion/popmotion,JavaScript,19114,364,583,688,545.0
218,gchq/CyberChef,JavaScript,19097,554,713,2279,1182.0
219,ai/nanoid,JavaScript,18953,194,193,689,358.6666666666667
220,websockets/ws,JavaScript,18930,674,1398,2245,1439.0
221,vuejs/vue-router,JavaScript,18888,945,2788,5165,2966.0
222,jorgebucaran/hyperapp,JavaScript,18855,492,579,833,634.6666666666666
223,philc/vimium,JavaScript,18853,1019,3107,2274,2133.3333333333335
224,jitsi/jitsi-meet,JavaScript,18761,6968,5422,5932,6107.333333333333
225,nuysoft/Mock,JavaScript,18469,50,437,2667,1051.3333333333333
