,HashId,ProjectName,UpdateAt,TimeToUpdate,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfPullRequests,TotalOfReleases,TotalOfIssues,TotalOfClosedIssues,RateOfIssues
68,MDEwOlJlcG9zaXRvcnkzNDcwNDcx,FortAwesome/Font-Awesome,20/10/2022,0,17/02/2012,3898,JavaScript,70293,193,10,18574,13325,"0,72"
69,MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,gothinkster/realworld,20/10/2022,0,26/02/2016,2428,Shell,69691,235,0,506,457,"0,9"
70,MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,20/10/2022,0,06/10/2018,1475,Java,67254,74,1,139,135,"0,97"
71,MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django/django,20/10/2022,0,28/04/2012,3827,Python,66881,7710,0,0,0,-
72,MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,tonsky/FiraCode,20/10/2022,0,11/11/2014,2900,Clojure,66861,124,10,1232,895,"0,73"
73,MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,vuejs/awesome-vue,20/10/2022,0,20/10/2015,2557,-,66708,3357,0,207,180,"0,87"
74,MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin/bitcoin,20/10/2022,0,19/12/2010,4323,C++,66583,12287,10,7137,6676,"0,94"
75,MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love/papers-we-love,20/10/2022,0,15/12/2013,3231,Shell,65125,406,0,174,162,"0,93"
76,MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv/opencv,20/10/2022,0,19/07/2012,3745,C++,64382,10811,10,9184,6984,"0,76"
77,MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby/moby,20/10/2022,0,18/01/2013,3562,Go,64298,17668,10,21565,17512,"0,81"
78,MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,typicode/json-server,20/10/2022,0,27/11/2013,3249,JavaScript,63878,100,10,1020,458,"0,45"
79,MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin-gonic/gin,20/10/2022,0,16/06/2014,3048,Go,63713,866,10,1924,1459,"0,76"
80,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,20/10/2022,0,19/10/2012,3653,Java,63675,41,10,27113,26608,"0,98"
81,MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,mtdvio/every-programmer-should-know,20/10/2022,0,24/08/2017,1883,-,63471,86,0,42,17,"0,4"
